Name,LevelRange,Zone,Family
Tzee Xicu Idol,N/A,Dynamis - Windurst,Replica
Tzee Xicu the Manifest,85 - 85,Castle Oztroja,Yagudo
Tzee Xicu the Manifest,N/A,Castle Oztroja (S),Yagudo
Tzee Xicu's Elemental,N/A,Castle Oztroja (S),Elemental
Ubuginu Armor,N/A,East Sarutabaruta, 14 more areas,Shadow
Ubume,60 - 65,Labyrinth of Onzozo,Greater Bird
Ulbrecht,N/A,Grauberg (S),Hume
Ulhuadshi,N/A,Abyssea-Attohwa,Sandworm
Ullikummi,85 - 87,The Shrine of Ru'Avitau,Golem
Ultima,N/A,Sealion's Den,Biotechnological Weapon
Ultrasonic Zekrajak,N/A,Dynamis - Beaucedine,Dynamis - Orc
Undefeatable Sappdapp,60 - 60,Horlais Peak,Orc
Ungur,N/A,Gustav Tunnel,Wyvern
Ungur (Nyzul),N/A,Nyzul Isle,Wyvern
Unstable Cluster,56 - 57,Riverne - Site #B01,Cluster
Unut,72 - 72,The Boyahda Tree,Rabbit
Unut (Nyzul),N/A,Nyzul Isle,Rabbit
Upas-Kamuy,N/A,Abyssea-Uleguerand,Snoll
Upyri,N/A,Misareaux Coast,Bats
Urayuli,N/A,Rolanberry Fields,Goobbue
Urd,N/A,Batallia Downs, 5 more areas,Pixie
Uriri Samariri,N/A,Nyzul Isle,Poroggo
Usurper,N/A,Abyssea-Tahrongi,Cravers
Utgarth Bat,N/A,Einherjar - Helmwige's Chamber, 5 more areas,Bats
Utgarth Bats,N/A,Einherjar - Helmwige's Chamber, 5 more areas,Triple Bats
Utgarth Leech,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Leech
Va'Gho Bloodbasked,N/A,Beadeaux (S),Quadav
Va'Rhu Bodysnatcher,N/A,Dynamis - Buburimu,Dynamis - Quadav
Vaa Huja the Erudite,45 - 45,Giddeus,Yagudo
Vaa Oozu the Redolent,N/A,Meriphataud Mountains (S), 1 more areas,Yagudo
Vadleany,N/A,Abyssea-Altepa,Ladybug
Valkeng,N/A,Talacca Cove,Automaton
Valkurm Emperor,29 - 30,Valkurm Dunes,Fly
Valkurm Emperor (Nyzul),N/A,Nyzul Isle,Fly
Valor,N/A,Quicksand Caves,Sea Monk
Vampyr Bat,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Bats
Vampyr Dog,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Hound
Vampyr Jarl,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Vampyr
Vangknok of Clan Death,N/A,Qu'Bia Arena,Orc
Vanilla Custard,N/A,Nyzul Isle,Flan
Vanquished Einherjar,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Skeleton
Vasiliceratops,N/A,Grauberg (S),Wivre
Vassago,N/A,Qu'Bia Arena,Demon
Vasuki,N/A,Beaucedine Glacier (S),Gargouille
Vee Ladu the Titterer,N/A,Castle Oztroja (S),Yagudo
Vee Qiqa the Decreer,N/A,Sauromugue Champaign (S), 8 more areas,Yagudo
Vee Seju the Consumed,N/A,Garlaige Citadel (S), 1 more areas,Yagudo
Vegnix Greenthumb,N/A,Batallia Downs,Goblin
Velionis,N/A,Arrapago Reef,Skeleton
Velosareon,N/A,Dynamis - Beaucedine,Dynamis - Shadow
Venomfang,N/A,Mamook,Raptor
Ventus,N/A,Ghoyu's Reverie (MMM),Elemental
Verdelet,N/A,Caedarva Mire,Imp
Veri Selen,N/A,Abyssea-Uleguerand,Wyvern
Vermilion-eared Noberry,60 - 60,Sacrificial Chamber,Tonberry
Verthandi,N/A,Batallia Downs, 5 more areas,Pixie
Vetehinen,N/A,Abyssea-Tahrongi,Limule
Vidhuwa the Wrathborn,N/A,Caedarva Mire,Soulflayer
Vile Ineef,N/A,Nyzul Isle,Soulflayer
Vile Wahdaha,N/A,Nyzul Isle,Soulflayer
Vile Wahzil,N/A,Arrapago Remnants,Salvage - Soulflayer
Vile Yabeewa,N/A,Nyzul Isle,Soulflayer
Virid-faced Shanberry,60 - 60,Sacrificial Chamber,Tonberry
Viscount Morax,68 - 68,Castle Zvahl Keep,Demon
Vishap,N/A,Dynamis - Buburimu,Dynamis - Dragon
Vodyanoi,45 - 45,Phanauet Channel,Doomed
Void Hare,N/A,Konschtat Highlands, 2 more areas,Rabbit
Voidstreaker Butchnotch,N/A,Dynamis - San d'Oria,Dynamis - Orc
Voirloup,N/A,Jugner Forest (S),Gnole
Volker,N/A,Stellar Fulcrum,Hume
Voll the Sharkfinned,64 - 66,Sea Serpent Grotto,Sahagin
Voluptuous Vilma,N/A,Yuhtunga Jungle,Morbol
Voluptuous Vivian,85 - 85,The Boyahda Tree,Morbol
Voo Tolu the Ghostfist,60 - 60,Balga's Dais,Yagudo
Vorjirzur the Valiant,N/A,Al Zahbi,Troll
Vouivre,79 - 80,Ifrit's Cauldron,Wyvern
Vouivre (Nyzul),N/A,Nyzul Isle,Wyvern
Vrtra,95 - 95,King Ranperre's Tomb,Wyrm
Vu'zdei,N/A,Abyssea-Vunkerl,Zdei
Vu-Murt,N/A,Lufaise Meadows,Sea Monk
Vulkodlac,N/A,Jugner Forest (S),Gnole
Vulpangue,N/A,Wajaom Woodlands,Puk
Vuu Puqu the Beguiler,21 - 22,Giddeus,Yagudo
Vuu Puqu the Beguiler,N/A,Sauromugue Champaign (S), 6 more areas,Yagudo
Vyurvarjur the Nimble,N/A,Al Zahbi,Troll
Wailer,N/A,Promyvion - Vahzl,Weepers
Wake Warder Wanda,N/A,Buburimu Peninsula,Crab
Waldgeist,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Hecteyes
Waltraute,N/A,Einherjar - Odin's Chamber,Fomor
Wandering Ghost,45 - 45,Gusgen Mines,Ghost
Wandering Wamoura,N/A,Bhaflau Remnants,Salvage - Wamoura
War Lynx,68 - 72,Fort Karugo-Narugo (S),Lynx
War Wamoura,N/A,Al Zahbi,Wamoura
War Wamouracampa,N/A,Al Zahbi,Wamouracampa
War Wyvern,N/A,Al Zahbi,Wyvern
Warabouc,N/A,Vunkerl Inlet (S),Bugard
Waraxe Beak,55 - 56,Meriphataud Mountains,Cockatrice
Warbler,N/A,Abyssea-Attohwa,Gnat
Warchief Vatgit,16 - 16,Ghelsba Outpost,Orc
Warder Aglaia,N/A,Misareaux Coast,Detector
Warder Euphrosyne,N/A,Misareaux Coast,Detector
Warder Thalia,N/A,Misareaux Coast,Detector
Warlord Rojgnoj,N/A,Qu'Bia Arena,Orc
Wasabix Callusdigit,N/A,Dynamis - Jeuno,Dynamis - Goblin
Watch Hippogryph,N/A,Monarch Linn,Hippogryph
Watch Imp,N/A,The Ashu Talif,Imp
Watch Wamoura,N/A,Navukgo Execution Chamber,Wamoura
Water Elemental,N/A,Dynamis - Qufim,Dynamis - Elemental
Water Golem,N/A,Qu'Bia Arena,Golem
Water Leaper,80 - 82,Sea Serpent Grotto,Pugil
Water Pot,N/A,Qu'Bia Arena,Magic Pot
Waugyl,N/A,Abyssea-Altepa,Puk
Wayward Worm,N/A,South Gustaberg, 10 more areas,Worm
Western Shadow,63 - 63,Fei'Yin,Shadow
Western Shadow (Nyzul),N/A,Nyzul Isle,Shadow
Western Sphinx,N/A,Western Altepa Desert,Manticore
Wheel Wamoura,N/A,Mount Zhayolm,Wamouracampa
Wherwetrice,N/A,Abyssea-Attohwa,Cockatrice
Whiro,N/A,Abyssea-Attohwa,Eft
Whistrix Toadthroat,N/A,Dynamis - Beaucedine,Dynamis - Goblin
White Coney,70 - 72,Uleguerand Range,Rabbit
White Sentinel,N/A,Al Zahbi,Automaton
Whitegold Quadav,N/A,Central Temenos - 3rd Floor,Quadav
Whitetatoo Rahool Ja,N/A,Jade Sepulcher,Mamool Ja
Wildfire,N/A,Garlaige Citadel (S),Bomb
Wind Elemental,N/A,Dynamis - Qufim,Dynamis - Elemental
Wind Golem,N/A,Qu'Bia Arena,Golem
Wind Pukis,N/A,Dynamis - Beaucedine,Dynamis - Dragon
Winebibber,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Clot
Wivre-X,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Wivre
Woebringer Demon,N/A,Castle Zvahl Baileys (S),Demon
Wolf Clan Warmachine,N/A,Horlais Peak,Orcish Warmachine
Woodland Sage,60 - 60,Yhoator Jungle,Treant
Woodnix Shrillwhistle,N/A,Dynamis - Buburimu,Dynamis - Goblin
Woodtroll Elite Guard,N/A,,Troll
Wordorbor the Artificer,N/A,Al Zahbi,Troll
Worgbut of Clan Death,N/A,Qu'Bia Arena,Orc
Worr the Clawfisted,72 - 72,Sea Serpent Grotto,Sahagin
Wounded Wurfel,36 - 38,Gusgen Mines,Ghost
Wraith Bat,10 - 10,East Sarutabaruta, 5 more areas,Bats
Wraithdancer Gidbnod,N/A,Dynamis - Beaucedine,Dynamis - Orc
Wreaker,N/A,Spire of Holla,Empty
Wulgaru,N/A,Alzadaal Undersea Ruins,Acrolith
Wuu Qoho the Razorclaw,N/A,Dynamis - Windurst,Yagudo
Wuur the Sandcomber,46 - 46,Sea Serpent Grotto,Sahagin
Wyrm,N/A,Balga's Dais,Wyrm
Wyrmfly,N/A,Maze of Shakhrami,Fly
Wyrmgnasher Bjakdek,N/A,Dynamis - San d'Oria,Dynamis - Orc
Wyrmwix Snakespecs,N/A,Dynamis - Jeuno,Dynamis - Goblin
Wyvernpoacher Drachlox,70 - 75,Gustav Tunnel,Goblin
Xaa Chau the Roctalon,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Xan,N/A,Abyssea-Vunkerl,Ladybug
Xarhorkur the Claviger,N/A,Al Zahbi,Troll
Xhoo Fuza the Sublime,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Xilbalba,N/A,Abyssea-Grauberg,Skeleton
Xolotl,80 - 81,Attohwa Chasm,Corse
Xoo Kaza the Solemn,N/A,Dynamis - Windurst,Yagudo
Yaa Haqa the Pious,N/A,Sauromugue Champaign (S), 1 more areas,Yagudo
Yaa Haqa the Profane,42 - 43,Castle Oztroja,Yagudo
Yaanei,N/A,Abyssea-Attohwa,Caturae
Yacumama,N/A,East Ronfaure, 3 more areas,Sea Monk
Yaguarogui,N/A,Abyssea-Uleguerand,Tiger
Yagudo Avatar,75 - 75,Castle Oztroja, 1 more areas,Yagudo
Yagudo Condottiere,N/A,West Sarutabaruta,Yagudo
Yagudo Follower,20 - 22,West Sarutabaruta,Yagudo
Yagudo High Priest,72 - 74,Castle Oztroja,Yagudo
Yagudo Muralist,N/A,Castle Oztroja,Yagudo
Yagudo Parivir,N/A,West Sarutabaruta (S),Yagudo
Yagudo Stormer,N/A,Ghoyu's Reverie,Yagudo
Yagudo Templar,72 - 74,Castle Oztroja,Yagudo
Yagudo Turret,N/A,West Sarutabaruta (S),Beastmen Turrets
Yal-un Eke,N/A,Misareaux Coast,Cluster
Yali,N/A,Full Moon Fountain,Manticore
Yallery Brown,80 - 80,Temple of Uggalepih,Sapling
Yang,N/A,Dynamis - Xarcabard,Dynamis - Dragon
Yara Ma Yha Who,N/A,Tahrongi Canyon,Sapling
Yarr the Pearleyed,N/A,Sea Serpent Grotto,Sahagin
Yazquhl,N/A,The Ashu Talif,Hume
Yearner,N/A,Abyssea-Tahrongi,Cravers
Yellow Pillywiggin,N/A,Ghoyu's Reverie (MMM),Bee
Yii Haqi the Threnodist,N/A,Meriphataud Mountains (S),Yagudo
Yilbegan,N/A,West Sarutabaruta, 21 more areas,Wyrm
Ying,N/A,Dynamis - Xarcabard,Dynamis - Dragon
Yo'Bhu Hideousmask,60 - 60,Waughroon Shrine,Quadav
Yoo Mihi the Haze,60 - 60,Balga's Dais,Yagudo
Yowie,64 - 65,Kuftal Tunnel,Raptor
Yukvok of Clan Death,N/A,Qu'Bia Arena,Orc
Yum Kimil,54 - 54,The Eldieme Necropolis,Skeleton
Za'Dha Adamantking,85 - 85,Qulun Dome,Quadav
Za'Dha Adamantking,N/A,Beadeaux (S),Quadav
Za'Dha's Biographer,N/A,Beadeaux (S),Quadav
Za'Dha's Minister,N/A,Beadeaux (S),Quadav
Zahak,N/A,Nyzul Isle,Hydra
Zareehkl the Jubilant,N/A,Arrapago Reef,Qutrub
Ze'Vho Fallsplitter,N/A,Dynamis - Bastok,Dynamis - Quadav
Zebra Zachary,N/A,Bhaflau Remnants,Salvage - Cockatrice
Zhuu Buxu the Silent,16 - 16,Giddeus,Yagudo
Zhuu Buxu the Silent,N/A,Castle Oztroja (S),Yagudo
Zi'Ghi Boneeater,15 - 16,Palborough Mines,Quadav
Zikko,N/A,Caedarva Mire,Imp
Zipacna,85 - 85,Ve'Lugannon Palace,Golem
Ziphius,N/A,Misareaux Coast,Pugil
Zirnitra,N/A,Xarcabard (S),Amphiptere
Ziryu,N/A,Riverne - Site #B01, 1 more areas,Worm
Zizzy Zillah,N/A,Mamook,Cockatrice
Zizzy Zillah (Nyzul),N/A,Nyzul Isle,Cockatrice
Zlatorog,N/A,Apollyon - Northwest,Limbus - Ram
Zmag Ognjeni Vuk,N/A,Jugner Forest (S),Gnole
Zmey Gorynych,N/A,Cape Teriggan,Raptor
Zo'Dha Legslicer,60 - 60,Waughroon Shrine,Quadav
Zo'Khu Blackcloud,36 - 38,Beadeaux,Quadav
Zoraal Ja's Pkuucha,N/A,Wajaom Woodlands,Colibri
Zoredonite,62 - 62,Manaclipper,Uragnite
Zuu Xowu the Darksmoke,60 - 60,Balga's Dais,Yagudo
Zuug the Shoreleaper,70 - 70,Sea Serpent Grotto,Sahagin
